region,period,scen,rem
76,2015,SSP1,NA
76,2020,SSP1,1.818606587
76,2025,SSP1,1.469150249
76,2030,SSP1,0.928732854
76,2035,SSP1,0.050133577
76,2040,SSP1,-1.244543723
76,2045,SSP1,-3.187630536
76,2050,SSP1,-5.890663954
76,2055,SSP1,-9.171165452
76,2060,SSP1,-13.2416286
76,2065,SSP1,-18.36600019
76,2070,SSP1,-23.79625825
76,2075,SSP1,-29.64821032
76,2080,SSP1,-37.10263036
76,2085,SSP1,-44.39466285
76,2090,SSP1,-51.66383522
76,2095,SSP1,-58.92585511
76,2100,SSP1,-69.32901226
52,2015,SSP1,NA
52,2020,SSP1,0.108433239
52,2025,SSP1,0.126274474
52,2030,SSP1,0.145257372
52,2035,SSP1,0.163927919
52,2040,SSP1,0.185242797
52,2045,SSP1,0.203400792
52,2050,SSP1,0.2212974
52,2055,SSP1,0.240793459
52,2060,SSP1,0.253975696
52,2065,SSP1,0.270158316
52,2070,SSP1,0.291597568
52,2075,SSP1,0.301856638
52,2080,SSP1,0.314176182
52,2085,SSP1,0.334623145
52,2090,SSP1,0.328863433
52,2095,SSP1,0.334447061
52,2100,SSP1,0.31983016
96,2015,SSP1,NA
96,2020,SSP1,-1.431643546
96,2025,SSP1,-1.604585946
96,2030,SSP1,-1.802338699
96,2035,SSP1,-2.011424774
96,2040,SSP1,-2.251074002
96,2045,SSP1,-2.468218306
96,2050,SSP1,-2.655153575
96,2055,SSP1,-2.877932601
96,2060,SSP1,-3.027875634
96,2065,SSP1,-3.146877318
96,2070,SSP1,-3.351941532
96,2075,SSP1,-3.393859803
96,2080,SSP1,-3.359714271
96,2085,SSP1,-3.499078668
96,2090,SSP1,-3.367154661
96,2095,SSP1,-3.125422113
96,2100,SSP1,-3.219845854
64,2015,SSP1,NA
64,2020,SSP1,-0.529204505
64,2025,SSP1,-0.937025027
64,2030,SSP1,-1.48547837
64,2035,SSP1,-2.20765927
64,2040,SSP1,-3.13261673
64,2045,SSP1,-4.301951356
64,2050,SSP1,-5.604761043
64,2055,SSP1,-7.024947008
64,2060,SSP1,-8.724241113
64,2065,SSP1,-10.3371222
64,2070,SSP1,-11.92650301
