year,countrycode,scenario,hdi.proj
2050,DEU,SSP1,0.899355928
2055,DEU,SSP1,0.899434127
2060,DEU,SSP1,0.89702752
2065,DEU,SSP1,0.895872216
2070,DEU,SSP1,0.89538312
2075,DEU,SSP1,0.895047048
2080,DEU,SSP1,NA
2085,DEU,SSP1,NA
2090,DEU,SSP1,NA
2095,DEU,SSP1,NA
2010,DNK,SSP1,0.82908314
2015,DNK,SSP1,0.832137427
2020,DNK,SSP1,0.835650012
2025,DNK,SSP1,0.840785658
2030,DNK,SSP1,0.84622873
2035,DNK,SSP1,0.851160188
2040,DNK,SSP1,0.856064506
2045,DNK,SSP1,0.860494279
2050,DNK,SSP1,0.862629633
2055,DNK,SSP1,0.862865953
2060,DNK,SSP1,0.860514224
2065,DNK,SSP1,0.859281379
2070,DNK,SSP1,0.85877076
2075,DNK,SSP1,0.858544618
2080,DNK,SSP1,NA
2085,DNK,SSP1,NA
2090,DNK,SSP1,NA
2095,DNK,SSP1,NA
2010,DOM,SSP1,0.681429936
2015,DOM,SSP1,0.699815784
2020,DOM,SSP1,0.718219837
2025,DOM,SSP1,0.73322691
2030,DOM,SSP1,0.747617689
2035,DOM,SSP1,0.760652897
2040,DOM,SSP1,0.77253672
2045,DOM,SSP1,0.783082367
2050,DOM,SSP1,0.790109763
2055,DOM,SSP1,0.794185341
2060,DOM,SSP1,0.794860078
2065,DOM,SSP1,0.795788344
2070,DOM,SSP1,0.797094378
2075,DOM,SSP1,0.798565941
2080,DOM,SSP1,NA
2085,DOM,SSP1,NA
2090,DOM,SSP1,NA
2095,DOM,SSP1,NA
2010,DZA,SSP1,0.6659988
2015,DZA,SSP1,0.683694419
2020,DZA,SSP1,0.700443595
2025,DZA,SSP1,0.717604291
2030,DZA,SSP1,0.735381627
2035,DZA,SSP1,0.752426014
2040,DZA,SSP1,0.768622341
2045,DZA,SSP1,0.782820832
2050,DZA,SSP1,0.793052404
2055,DZA,SSP1,0.799726267
2060,DZA,SSP1,0.802532832
2065,DZA,SSP1,0.805081883
2070,DZA,SSP1,0.807233285
2075,DZA,SSP1,0.808913435
2080,DZA,SSP1,NA
2085,DZA,SSP1,NA
2090,DZA,SSP1,NA
2095,DZA,SSP1,NA
2010,ECU,SSP1,0.676398397
2015,ECU,SSP1,0.694739546
2020,ECU,SSP1,0.717363318
2025,ECU,SSP1,0.739062793
2030,ECU,SSP1,0.758090973
2035,ECU,SSP1,0.773346591
2040,ECU,SSP1,0.787474764
2045,ECU,SSP1,0.800115564
2050,ECU,SSP1,0.809347625
2055,ECU,SSP1,0.814936219
2060,ECU,SSP1,0.816801031
2065,ECU,SSP1,0.818334006
2070,ECU,SSP1,0.81975059
2075,ECU,SSP1,0.820890422
2080,ECU,SSP1,NA
2085,ECU,SSP1,NA
2090,ECU,SSP1,NA
2095,ECU,SSP1,NA
2010,EGY,SSP1,0.628448877
2015,EGY,SSP1,0.651817895
2020,EGY,SSP1,0.675638992
2025,EGY,SSP1,0.697429332
2030,EGY,SSP1,0.718224294
2035,EGY,SSP1,0.736996266
2040,EGY,SSP1,0.754122558
2045,EGY,SSP1,0.769013857
2050,EGY,SSP1,0.779793664
2055,EGY,SSP1,0.786941227
2060,EGY,SSP1,0.790264508
2065,EGY,SSP1,0.793150281
2070,EGY,SSP1,0.795546145
2075,EGY,SSP1,0.797322519
2080,EGY,SSP1,NA
2085,EGY,SSP1,NA
2090,EGY,SSP1,NA
2095,EGY,SSP1,NA
2010,ESP,SSP1,0.791877348
2015,ESP,SSP1,0.8044868
2020,ESP,SSP1,0.820519566
2025,ESP,SSP1,0.836382369
2030,ESP,SSP1,0.850299456
2035,ESP,SSP1,0.86178006
2040,ESP,SSP1,0.871263386
2045,ESP,SSP1,0.879217158
2050,ESP,SSP1,0.884048044
2055,ESP,SSP1,0.886615768
2060,ESP,SSP1,0.886230655
2065,ESP,SSP1,0.886646443
2070,ESP,SSP1,0.887497624
2075,ESP,SSP1,0.888207396
2080,ESP,SSP1,NA
2085,ESP,SSP1,NA
2090,ESP,SSP1,NA
2095,ESP,SSP1,NA
2010,EST,SSP1,0.782575485
2015,EST,SSP1,0.791745239
2020,EST,SSP1,0.801618085
2025,EST,SSP1,0.811944451
2030,EST,SSP1,0.820189468
2035,EST,SSP1,0.826087158
2040,EST,SSP1,0.830883084
2045,EST,SSP1,0.834494996
2050,EST,SSP1,0.835682103
2055,EST,SSP1,0.835487198
2060,EST,SSP1,0.833319734
2065,EST,SSP1,0.832631356
2070,EST,SSP1,0.832769558
2075,EST,SSP1,0.833231768
2080,EST,SSP1,NA
2085,EST,SSP1,NA
2090,EST,SSP1,NA
2095,EST,SSP1,NA
2010,ETH,SSP1,0.358364854
2015,ETH,SSP1,0.406427207
2020,ETH,SSP1,0.453823169
2025,ETH,SSP1,0.486738406
2030,ETH,SSP1,0.516849233
2035,ETH,SSP1,0.544929368
2040,ETH,SSP1,0.57236993
2045,ETH,SSP1,0.599108803
