countrycode,year,gii,scenario
MLT,2003,0.249811975,Observed
MNG,2003,0.380715398,Observed
MOZ,2003,0.606286841,Observed
MUS,2003,0.451023031,Observed
MWI,2003,0.659644808,Observed
MYS,2003,0.26723904,Observed
NAM,2003,0.519623524,Observed
NER,2003,0.778618141,Observed
NGA,2003,0.702072435,Observed
NIC,2003,0.518785155,Observed
NLD,2003,0.002983125,Observed
NOR,2003,0.010042689,Observed
NPL,2003,0.640389456,Observed
NZL,2003,0.143597189,Observed
PAK,2003,0.614197986,Observed
PAN,2003,0.499635633,Observed
PER,2003,0.46422463,Observed
PHL,2003,0.467232366,Observed
POL,2003,0.092929886,Observed
PRT,2003,0.117375548,Observed
PRY,2003,0.547109138,Observed
ROU,2003,0.352661675,Observed
RUS,2003,0.356030301,Observed
RWA,2003,0.503856663,Observed
SAU,2003,0.545375419,Observed
SDN,2003,0.686169862,Observed
SEN,2003,0.624249692,Observed
SGP,2003,0.081665181,Observed
SLB,2003,0.66358335,Observed
SLE,2003,0.661174731,Observed
SLV,2003,0.478300073,Observed
STP,2003,0.591238853,Observed
SUR,2003,0.522727872,Observed
SVK,2003,0.123875233,Observed
SVN,2003,0.034234999,Observed
SWE,2003,0.01,Observed
SWZ,2003,0.628762375,Observed
TCD,2003,0.748949546,Observed
TGO,2003,0.64938539,Observed
THA,2003,0.374729463,Observed
TJK,2003,0.364907068,Observed
TKM,2003,0.200072233,Observed
TLS,2003,0.576618131,Observed
TON,2003,0.514081474,Observed
TTO,2003,0.374082686,Observed
TUN,2003,0.317494944,Observed
TUR,2003,0.498303243,Observed
TZA,2003,0.611523683,Observed
UGA,2003,0.602222848,Observed
UKR,2003,0.348544087,Observed
URY,2003,0.334975499,Observed
USA,2003,0.231540883,Observed
VCT,2003,0.386498233,Observed
VEN,2003,0.522923306,Observed
VNM,2003,0.295444509,Observed
VUT,2003,0.576774985,Observed
WSM,2003,0.447347572,Observed
YEM,2003,0.854050986,Observed
ZAF,2003,0.45323406,Observed
ZMB,2003,0.627412647,Observed
ZWE,2003,0.616901893,Observed
AGO,2004,0.655068414,Observed
ALB,2004,0.260055842,Observed
ARE,2004,0.420512759,Observed
ARG,2004,0.361775016,Observed
ARM,2004,0.370066645,Observed
AUS,2004,0.090874119,Observed
AUT,2004,0.04525751,Observed
AZE,2004,0.334436293,Observed
BDI,2004,0.592713864,Observed
BEL,2004,0.028806866,Observed
BEN,2004,0.654332675,Observed
BFA,2004,0.636024797,Observed
BGD,2004,0.722928074,Observed
BGR,2004,0.216765648,Observed
BHR,2004,0.431933463,Observed
BHS,2004,0.365770666,Observed
BIH,2004,0.181852331,Observed
BLR,2004,0.129697442,Observed
BLZ,2004,0.510641624,Observed
BOL,2004,0.529615816,Observed
BRA,2004,0.464278892,Observed
BTN,2004,0.561244515,Observed
BWA,2004,0.513549668,Observed
