region,period,scen,diffmig
124,2025,SSP1,1638.172303
124,2030,SSP1,2601.167206
124,2035,SSP1,3630.156502
124,2040,SSP1,4713.090033
124,2045,SSP1,5848.194828
124,2050,SSP1,7034.393858
124,2055,SSP1,8266.732585
124,2060,SSP1,9535.272105
124,2065,SSP1,10824.74025
124,2070,SSP1,12119.00244
124,2075,SSP1,13406.0061
124,2080,SSP1,14673.72003
124,2085,SSP1,15906.12694
124,2090,SSP1,17081.18486
124,2095,SSP1,18163.82155
124,2100,SSP1,19104.55096
756,2015,SSP1,0
756,2020,SSP1,161.7024051
756,2025,SSP1,349.8347178
756,2030,SSP1,558.2830191
756,2035,SSP1,781.9427698
756,2040,SSP1,1017.653208
756,2045,SSP1,1264.569952
756,2050,SSP1,1522.187302
756,2055,SSP1,1789.396278
756,2060,SSP1,2064.370784
756,2065,SSP1,2344.180772
756,2070,SSP1,2625.380182
756,2075,SSP1,2904.771014
756,2080,SSP1,3179.161772
756,2085,SSP1,3432.497931
756,2090,SSP1,3659.538374
756,2095,SSP1,3854.986616
756,2100,SSP1,4019.060064
152,2015,SSP1,0
152,2020,SSP1,-9.576674396
152,2025,SSP1,-19.25118562
152,2030,SSP1,-29.01749047
152,2035,SSP1,-38.58514748
152,2040,SSP1,-47.69011858
152,2045,SSP1,-56.18237924
152,2050,SSP1,-63.98978682
152,2055,SSP1,-71.10027763
152,2060,SSP1,-77.5315361
152,2065,SSP1,-83.3071442
152,2070,SSP1,-88.42252638
152,2075,SSP1,-92.84779781
152,2080,SSP1,-96.57437842
152,2085,SSP1,-99.5630627
152,2090,SSP1,-101.7997274
152,2095,SSP1,-103.2876125
152,2100,SSP1,-104.2205593
156,2015,SSP1,0
156,2020,SSP1,-966.0875129
156,2025,SSP1,-2017.843452
156,2030,SSP1,-3116.258772
156,2035,SSP1,-4227.441911
156,2040,SSP1,-5337.988211
156,2045,SSP1,-6445.79887
156,2050,SSP1,-7545.042405
156,2055,SSP1,-8627.453041
156,2060,SSP1,-9679.666437
156,2065,SSP1,-10684.0667
156,2070,SSP1,-11625.13363
156,2075,SSP1,-12492.20699
156,2080,SSP1,-13278.76993
156,2085,SSP1,-13979.64915
156,2090,SSP1,-14593.14498
156,2095,SSP1,-15124.39929
156,2100,SSP1,-15585.96305
384,2015,SSP1,0
384,2020,SSP1,190.9754046
384,2025,SSP1,388.4920961
384,2030,SSP1,592.1903265
384,2035,SSP1,797.9523715
384,2040,SSP1,1002.080149
384,2045,SSP1,1202.178448
384,2050,SSP1,1396.485512
384,2055,SSP1,1582.735242
384,2060,SSP1,1758.311737
384,2065,SSP1,1921.87944
384,2070,SSP1,2070.734541
384,2075,SSP1,2205.53038
384,2080,SSP1,2328.469745
384,2085,SSP1,2442.379865
384,2090,SSP1,2551.418911
384,2095,SSP1,2654.926254
384,2100,SSP1,2752.060526
120,2015,SSP1,0
120,2020,SSP1,-28.57815852
120,2025,SSP1,-65.69120836
120,2030,SSP1,-107.9657782
120,2035,SSP1,-154.0809694
120,2040,SSP1,-203.5868983
120,2045,SSP1,-256.3842971
120,2050,SSP1,-312.2215039
120,2055,SSP1,-370.5231428
120,2060,SSP1,-430.3134964
120,2065,SSP1,-490.3380477
120,2070,SSP1,-549.4645903
120,2075,SSP1,-606.7853231
120,2080,SSP1,-661.7013702
120,2085,SSP1,-713.7735761
120,2090,SSP1,-761.8684008
120,2095,SSP1,-805.7372017
120,2100,SSP1,-844.8961663
180,2015,SSP1,0
180,2020,SSP1,27.66050977
180,2025,SSP1,37.60857061
180,2030,SSP1,31.31562306
180,2035,SSP1,5.229056376
180,2040,SSP1,-42.9502424
180,2045,SSP1,-112.7594169
180,2050,SSP1,-202.8443934
180,2055,SSP1,-311.2965582
180,2060,SSP1,-436.0910534
180,2065,SSP1,-575.3994364
180,2070,SSP1,-727.1824164
180,2075,SSP1,-888.6311774
180,2080,SSP1,-1055.90718
180,2085,SSP1,-1224.509352
180,2090,SSP1,-1390.037476
180,2095,SSP1,-1547.768402
180,2100,SSP1,-1695.462309
178,2015,SSP1,0
178,2020,SSP1,11.13503406
178,2025,SSP1,21.62092765
178,2030,SSP1,30.96299649
178,2035,SSP1,38.64044072
178,2040,SSP1,44.4539717
178,2045,SSP1,48.47519192
178,2050,SSP1,50.9066835
178,2055,SSP1,51.91802774
178,2060,SSP1,51.52919221
178,2065,SSP1,49.6793044
178,2070,SSP1,46.34849584
178,2075,SSP1,41.66571213
178,2080,SSP1,35.95092004
178,2085,SSP1,29.69029325
178,2090,SSP1,23.42575786
178,2095,SSP1,17.63219291
178,2100,SSP1,12.63033427
170,2015,SSP1,0
170,2020,SSP1,-237.5150065
170,2025,SSP1,-501.2289529
170,2030,SSP1,-782.682217
170,2035,SSP1,-1076.482969
170,2040,SSP1,-1379.606968
170,2045,SSP1,-1689.631207
170,2050,SSP1,-2004.8834
170,2055,SSP1,-2322.683745
170,2060,SSP1,-2639.856227
170,2065,SSP1,-2952.378789
170,2070,SSP1,-3256.500475
170,2075,SSP1,-3548.974899
170,2080,SSP1,-3827.138338
170,2085,SSP1,-4089.663473
170,2090,SSP1,-4336.990713
170,2095,SSP1,-4572.820081
170,2100,SSP1,-4798.19842
174,2015,SSP1,0
174,2020,SSP1,-5.472760246
174,2025,SSP1,-12.33510417
174,2030,SSP1,-20.06274961
174,2035,SSP1,-28.35840893
174,2040,SSP1,-37.11645108
174,2045,SSP1,-46.3122156
174,2050,SSP1,-55.90075789
174,2055,SSP1,-65.78719271
174,2060,SSP1,-75.7728296
174,2065,SSP1,-85.6010922
174,2070,SSP1,-95.10899416
174,2075,SSP1,-104.1883528
174,2080,SSP1,-112.7901739
174,2085,SSP1,-120.9030585
174,2090,SSP1,-128.4651365
174,2095,SSP1,-135.3796067
174,2100,SSP1,-141.5448454
132,2015,SSP1,0
132,2020,SSP1,-14.75618743
132,2025,SSP1,-31.41043325
132,2030,SSP1,-49.24992319
132,2035,SSP1,-67.87088198
132,2040,SSP1,-87.05086396
132,2045,SSP1,-106.6539282
132,2050,SSP1,-126.5043124
132,2055,SSP1,-146.3826262
132,2060,SSP1,-165.993571
132,2065,SSP1,-185.0538147
132,2070,SSP1,-203.2995765
132,2075,SSP1,-220.4907893
132,2080,SSP1,-236.4354892
132,2085,SSP1,-251.0036878
132,2090,SSP1,-264.1537715
132,2095,SSP1,-275.9516658
132,2100,SSP1,-286.5991186
188,2015,SSP1,0
188,2020,SSP1,31.26978303
188,2025,SSP1,66.67967194
188,2030,SSP1,105.1098958
188,2035,SSP1,145.8156573
188,2040,SSP1,188.4213527
188,2045,SSP1,232.8126569
188,2050,SSP1,278.8093168
188,2055,SSP1,326.0101383
188,2060,SSP1,373.8554173
188,2065,SSP1,421.9158813
188,2070,SSP1,469.7620563
188,2075,SSP1,517.1636585
188,2080,SSP1,564.1397978
188,2085,SSP1,610.9690844
188,2090,SSP1,656.6871878
188,2095,SSP1,700.5814418
188,2100,SSP1,742.3212123
192,2015,SSP1,0
192,2020,SSP1,-173.0670411
192,2025,SSP1,-356.3165732
192,2030,SSP1,-543.3008081
192,2035,SSP1,-730.5443899
192,2040,SSP1,-916.2680346
192,2045,SSP1,-1099.530527
192,2050,SSP1,-1279.215467
192,2055,SSP1,-1453.852128
192,2060,SSP1,-1621.556745
192,2065,SSP1,-1780.43316
192,2070,SSP1,-1928.809415
192,2075,SSP1,-2065.39313
192,2080,SSP1,-2189.291653
192,2085,SSP1,-2299.054228
192,2090,SSP1,-2393.497732
192,2095,SSP1,-2471.852647
192,2100,SSP1,-2535.210364
196,2015,SSP1,0
196,2020,SSP1,16.43916682
196,2025,SSP1,35.32822552
196,2030,SSP1,55.9886537
196,2035,SSP1,77.99558093
196,2040,SSP1,101.1609306
196,2045,SSP1,125.4340645
196,2050,SSP1,150.7033383
196,2055,SSP1,176.7623289
196,2060,SSP1,203.3488481
196,2065,SSP1,230.0993938
196,2070,SSP1,256.6841036
196,2075,SSP1,282.8774834
196,2080,SSP1,308.4626487
196,2085,SSP1,333.2509448
196,2090,SSP1,357.018442
196,2095,SSP1,379.5187017
196,2100,SSP1,400.5318991
203,2015,SSP1,0
203,2020,SSP1,28.05852625
203,2025,SSP1,62.98972142
203,2030,SSP1,103.9577103
203,2035,SSP1,150.2684904
203,2040,SSP1,201.491139
203,2045,SSP1,257.2258584
203,2050,SSP1,316.9876956
203,2055,SSP1,380.2030915
203,2060,SSP1,446.3035969
203,2065,SSP1,514.6746646
203,2070,SSP1,584.6117803
203,2075,SSP1,655.4296329
203,2080,SSP1,726.4246422
203,2085,SSP1,796.8070316
203,2090,SSP1,865.7599119
203,2095,SSP1,932.4553188
203,2100,SSP1,996.120293
276,2015,SSP1,0
276,2020,SSP1,887.6328941
276,2025,SSP1,1926.805875
276,2030,SSP1,3088.073348
276,2035,SSP1,4347.880423
276,2040,SSP1,5686.854154
276,2045,SSP1,7098.439734
276,2050,SSP1,8578.895757
276,2055,SSP1,10122.34485
276,2060,SSP1,11720.12996
276,2065,SSP1,13355.88538
276,2070,SSP1,15007.39906
276,2075,SSP1,16654.39318
276,2080,SSP1,18280.15948
276,2085,SSP1,19869.85306
276,2090,SSP1,21403.28751
276,2095,SSP1,22854.01891
276,2100,SSP1,24199.80909
262,2015,SSP1,0
262,2020,SSP1,21.17844439
262,2025,SSP1,44.85211974
262,2030,SSP1,70.34650494
262,2035,SSP1,96.71435307
262,2040,SSP1,123.369962
262,2045,SSP1,150.1117319
262,2050,SSP1,176.8708512
262,2055,SSP1,203.4843248
262,2060,SSP1,229.6362648
262,2065,SSP1,254.836311
262,2070,SSP1,278.7553388
262,2075,SSP1,301.1160572
262,2080,SSP1,322.0100961
262,2085,SSP1,341.5730054
262,2090,SSP1,359.9445461
262,2095,SSP1,377.1858883
262,2100,SSP1,393.2440168
208,2015,SSP1,0
208,2020,SSP1,46.11134447
208,2025,SSP1,100.4174966
208,2030,SSP1,161.1149153
208,2035,SSP1,226.4736894
208,2040,SSP1,295.6674718
208,2045,SSP1,368.5587904
208,2050,SSP1,445.0421991
208,2055,SSP1,524.9137428
208,2060,SSP1,607.587836
208,2065,SSP1,691.899847
208,2070,SSP1,776.6407126
208,2075,SSP1,860.782245
208,2080,SSP1,943.4953658
208,2085,SSP1,1024.02283
208,2090,SSP1,1101.617786
208,2095,SSP1,1175.481785
208,2100,SSP1,1244.963213
214,2015,SSP1,0
214,2020,SSP1,-121.9426466
214,2025,SSP1,-261.2819596
214,2030,SSP1,-412.997038
214,2035,SSP1,-574.7817489
214,2040,SSP1,-745.9979289
214,2045,SSP1,-926.1475454
214,2050,SSP1,-1114.044481
214,2055,SSP1,-1308.084192
214,2060,SSP1,-1506.115173
214,2065,SSP1,-1706.049643
214,2070,SSP1,-1905.692317
214,2075,SSP1,-2103.039955
214,2080,SSP1,-2296.119903
214,2085,SSP1,-2483.005319
214,2090,SSP1,-2662.54865
214,2095,SSP1,-2835.124345
214,2100,SSP1,-3001.740709
12,2015,SSP1,0
12,2020,SSP1,-216.5236701
12,2025,SSP1,-474.8791038
12,2030,SSP1,-762.9646215
12,2035,SSP1,-1070.889549
12,2040,SSP1,-1392.654114
12,2045,SSP1,-1727.827717
12,2050,SSP1,-2078.469596
12,2055,SSP1,-2444.446946
12,2060,SSP1,-2821.951715
12,2065,SSP1,-3203.880769
12,2070,SSP1,-3582.313846
