countrycode,country,scenario,year,governance,gov.eff,corr.cont
STP,Sao Tome and Principe,Observed,1998,0.527290268,0.379517605,0.433409828
SUR,Suriname,Observed,1998,0.539840205,0.408926376,0.494529065
SVK,Slovakia,Observed,1998,0.649425849,0.614107437,0.451185233
SVN,Slovenia,Observed,1998,0.779680305,0.672176564,0.710228429
SWE,Sweden,Observed,1998,0.899550026,0.902120363,0.944255112
SWZ,Swaziland,Observed,1998,0.435966379,0.383477079,0.445983716
SYR,Syrian Arab Republic,Observed,1998,0.33970377,0.288324884,0.219918627
TCD,Chad,Observed,1998,0.315342624,0.387179853,0.140868854
TGO,Togo,Observed,1998,0.370096118,0.323957285,0.247261476
THA,Thailand,Observed,1998,0.594654988,0.522823588,0.415630938
TJK,Tajikistan,Observed,1998,0.220372987,0.216997074,0.138298248
TKM,Turkmenistan,Observed,1998,0.278858901,0.265311522,0.176315765
TON,Tonga,Observed,1998,NA,0.450227029,0.38566304
TTO,Trinidad and Tobago,Observed,1998,0.658954123,0.564931067,0.566094711
TUN,Tunisia,Observed,1998,0.511368226,0.612505642,0.375850688
TUR,Turkey,Observed,1998,0.467125934,0.450339123,0.362387829
TZA,"Tanzania, United Republic of",Observed,1998,0.436326313,0.412359459,0.249698824
UGA,Uganda,Observed,1998,0.4071454,0.423045423,0.225602349
UKR,Ukraine,Observed,1998,0.383112646,0.326190404,0.13804352
URY,Uruguay,Observed,1998,0.709246618,0.599663367,0.679510978
USA,United States,Observed,1998,0.853228914,0.863290351,0.798658281
UZB,Uzbekistan,Observed,1998,0.236381473,0.232660085,0.163796098
VCT,Saint Vincent and the Grenadines,Observed,1998,0.641923256,0.477375339,0.475280164
VEN,"Venezuela, Bolivarian Republic o",Observed,1998,0.428733656,0.343974173,0.217688418
VNM,Viet Nam,Observed,1998,0.421519251,0.426373468,0.322831538
VUT,Vanuatu,Observed,1998,0.573557026,0.423078727,0.45414811
WSM,Samoa,Observed,1998,0.631571065,0.571400712,0.409844812
YEM,Yemen,Observed,1998,0.342792129,0.354440126,0.205093152
ZAF,South Africa,Observed,1998,0.622446606,0.638005403,0.586156176
ZMB,Zambia,Observed,1998,0.447671007,0.327370172,0.252510585
ZWE,Zimbabwe,Observed,1998,0.404091774,0.436199911,0.320018602
ARG,Argentina,Observed,2000,0.553555073,0.510759779,0.386427642
ARM,Armenia,Observed,2000,0.43200719,0.399287095,0.255647495
AUS,Australia,Observed,2000,0.890957459,0.87248422,0.873984358
AUT,Austria,Observed,2000,0.867999946,0.896713134,0.84770125
AZE,Azerbaijan,Observed,2000,0.316960823,0.299552093,0.130936746
BDI,Burundi,Observed,2000,0.246773737,0.222622114,0.245349478
BEL,Belgium,Observed,2000,0.832043806,0.857121865,0.775690703
BEN,Benin,Observed,2000,0.540632633,0.45655826,0.321546757
BFA,Burkina Faso,Observed,2000,0.480667018,0.386914618,0.414301043
BGD,Bangladesh,Observed,2000,0.381281156,0.386127484,0.175173845
BGR,Bulgaria,Observed,2000,0.564365645,0.504822835,0.399978317
BHR,Bahrain,Observed,2000,0.567269818,0.624029991,0.518521874
BHS,Bahamas,Observed,2000,0.808336399,0.767673021,0.741476135
BIH,Bosnia and Herzegovina,Observed,2000,0.426721091,0.333749132,0.301368121
BLR,Belarus,Observed,2000,0.354349406,0.381131222,0.342335719
BLZ,Belize,Observed,2000,0.582118533,0.517006823,0.388968764
BOL,"Bolivia, Plurinational State of",Observed,2000,0.494353035,0.431978603,0.324638193
BRA,Brazil,Observed,2000,0.564083277,0.523353556,0.439974144
BRB,Barbados,Observed,2000,0.82813043,0.798450528,0.792960135
BRN,Brunei Darussalam,Observed,2000,0.64650189,0.690298823,0.5165944
BTN,Bhutan,Observed,2000,0.565933046,0.67296405,0.65835268
BWA,Botswana,Observed,2000,0.689700941,0.611186157,0.622282728
CAF,Central African Republic,Observed,2000,0.308998623,0.234764412,0.159514878
CAN,Canada,Observed,2000,0.893771766,0.897094841,0.918305835
CHE,Switzerland,Observed,2000,0.927084804,0.91967479,0.918077291
CHL,Chile,Observed,2000,0.781450281,0.732646577,0.796256321
CHN,China,Observed,2000,0.431394107,0.482045746,0.380395892
CIV,Cote d'Ivoire,Observed,2000,0.346121818,0.337635266,0.272858582
CMR,Cameroon,Observed,2000,0.34185957,0.351550532,0.155879997
COG,Congo,Observed,2000,0.27227108,0.246917988,0.172140437
COL,Colombia,Observed,2000,0.413800234,0.438799798,0.339262588
COM,Comoros,Observed,2000,0.324651262,0.262436795,0.175757128
CPV,Cape Verde,Observed,2000,0.671066773,0.569096776,0.576208517
CRI,Costa Rica,Observed,2000,0.693207647,0.56205135,0.631898961
CUB,Cuba,Observed,2000,0.401331879,0.430302044,0.517699964
CYP,Cyprus,Observed,2000,0.752276785,0.734121677,0.689140057
CZE,Czech Republic,Observed,2000,0.656066837,0.636330294,0.479334627
DEU,Germany,Observed,2000,0.879062818,0.887717188,0.859652526
DJI,Djibouti,Observed,2000,0.366333966,0.293757093,0.212581386
DNK,Denmark,Observed,2000,0.930578164,0.907087897,0.982660532
DOM,Dominican Republic,Observed,2000,0.481283432,0.439891948,0.264435086
DZA,Algeria,Observed,2000,0.310592289,0.308126484,0.214534804
ECU,Ecuador,Observed,2000,0.406713318,0.348395351,0.22460142
EGY,Egypt,Observed,2000,0.461209266,0.459913138,0.30311955
ERI,Eritrea,Observed,2000,0.394817579,0.305533909,0.589529006
ESP,Spain,Observed,2000,0.809886073,0.862713727,0.747621202
EST,Estonia,Observed,2000,0.729054251,0.654323373,0.624168212
ETH,Ethiopia,Observed,2000,0.345133782,0.320368484,0.32681196
FIN,Finland,Observed,2000,0.95396841,0.935121785,0.993800201
FJI,Fiji,Observed,2000,0.49587568,0.410796408,0.502985106
FRA,France,Observed,2000,0.803993324,0.852461778,0.746068491
GAB,Gabon,Observed,2000,0.479502438,0.387998491,0.266714861
GBR,United Kingdom,Observed,2000,0.891152672,0.880199908,0.923783131
GEO,Georgia,Observed,2000,0.392184332,0.372304061,0.198340705
GHA,Ghana,Observed,2000,0.529463926,0.518169409,0.407429636
GIN,Guinea,Observed,2000,0.297813751,0.338611253,0.212230589
GMB,Gambia,Observed,2000,0.462633873,0.408162906,0.341454028
